customer_id,customer_name,city,state,region
CUST00396,Karan Agarwal,Ahmedabad,Gujarat,West
CUST03696,Vihaan Gupta,Warangal,Telangana,South
CUST00665,Tanya Das,Hyderabad,Telangana,South
CUST01154,Kabir Joshi,Noida,Uttar Pradesh,North
CUST00655,Rahul Gupta,Chennai,Tamil Nadu,South
CUST00715,Rohan Verma,Surat,Gujarat,West
CUST02979,Pooja Malhotra,Kolkata,West Bengal,East
CUST01447,Aditya Chatterjee,Howrah,West Bengal,East
CUST01492,Anjali Das,Bhubaneswar,Odisha,East
CUST00126,Aarav Rao,Udaipur,Rajasthan,West
CUST03858,Kavya Sharma,Noida,Uttar Pradesh,North
CUST03608,Ishaan Patel,Jaipur,Rajasthan,West
CUST01760,Simran Agarwal,Udaipur,Rajasthan,West
CUST00928,Amit Kumar,Amritsar,Punjab,North
CUST00257,Diya Patel,Ludhiana,Punjab,North
CUST02856,Ananya Rao,Chennai,Tamil Nadu,South
CUST03982,Suresh Gupta,Bhubaneswar,Odisha,East
CUST00842,Suresh Chatterjee,Bhubaneswar,Odisha,East
CUST01272,Aarav Patel,Ahmedabad,Gujarat,West
CUST01509,Meera Pillai,Bengaluru,Karnataka,South
CUST03846,Aditi Rao,New Delhi,Delhi,North
CUST01397,Sai Agarwal,Ludhiana,Punjab,North
CUST02114,Reyansh Iyer,Mumbai,Maharashtra,West
CUST02488,Rohan Joshi,Warangal,Telangana,South
CUST03814,Unknown Customer,Rohini,Delhi,North
CUST03412,Amit Chatterjee,Lucknow,Uttar Pradesh,North
CUST01750,Ananya Kapoor,Ahmedabad,Gujarat,West
CUST03153,Reyansh Kumar,Patna,Bihar,East
CUST02044,Ishaan Sharma,Patna,Bihar,East
CUST01759,Ishaan Bansal,Surat,Gujarat,West
CUST03873,Vivaan Iyer,Bhubaneswar,Odisha,East
CUST00882,Unknown Customer,Warangal,Telangana,South
CUST00575,Kavya Kumar,Warangal,Telangana,South
CUST02998,Priya Sharma,Kolkata,West Bengal,East
CUST01706,Sneha Malhotra,Mysuru,Karnataka,South
CUST02909,Ananya Kumar,Hyderabad,Telangana,South
CUST02966,Amit Mehta,Patna,Bihar,East
CUST02160,Diya Singh,Bhubaneswar,Odisha,East
CUST00241,Unknown Customer,Udaipur,Rajasthan,West
CUST03469,Kavya Iyer,Kanpur,Uttar Pradesh,North
CUST01363,Pooja Rao,Bhubaneswar,Odisha,East
CUST03071,Priya Joshi,Coimbatore,Tamil Nadu,South
CUST00659,Aarav Menon,Coimbatore,Tamil Nadu,South
CUST02336,Kavya Joshi,Patna,Bihar,East
CUST03702,Arjun Das,Howrah,West Bengal,East
CUST03443,Rahul Kumar,Patna,Bihar,East
CUST02279,Anjali Chatterjee,Chennai,Tamil Nadu,South
CUST01542,Aarav Gupta,Warangal,Telangana,South
CUST00334,Neha Bansal,Pune,Maharashtra,West
